Gender,Age,Income,Employment_Status,Credit_Score,Loan_Amount,Loan_Term_Months,Has_Defaulted_Before,Fraudulent_Activity,Loan_Status
Female,49,48141,Student,387,10916,12,0,1,Rejected
Male,33,29074,Unemployed,493,11143,12,1,0,Rejected
Female,32,26406,Self-employed,403,26855,60,0,0,Rejected
Female,51,117359,Student,395,16581,12,1,0,Rejected
Female,22,143279,Student,722,2907,12,0,0,Approved
Male,55,43291,Student,497,30424,36,1,0,Rejected
Female,43,61568,Employed,300,24308,12,1,0,Rejected
Male,37,117539,Employed,706,42984,24,0,0,Approved
Male,46,66851,Student,677,42505,60,1,0,Rejected
Female,28,119942,Self-employed,466,47525,48,1,0,Rejected
Male,49,74823,Self-employed,808,37942,36,1,0,Rejected
Male,46,43312,Student,612,27957,60,0,0,Under Review
Female,30,63108,Student,717,26464,60,1,0,Rejected
Male,46,86918,Self-employed,776,49476,24,0,0,Approved
Female,54,54171,Employed,372,24649,12,0,0,Rejected
Male,61,61779,Employed,440,43065,24,1,0,Rejected
Male,27,88828,Student,561,28125,12,0,0,Under Review
Female,24,127315,Self-employed,639,35758,12,1,0,Rejected
Female,31,118723,Employed,607,6596,60,0,0,Under Review
Female,49,32411,Student,544,17374,12,1,0,Rejected
Male,56,122821,Unemployed,814,4775,36,0,0,Approved
Female,45,137990,Student,636,28388,36,1,0,Rejected
Female,41,77009,Unemployed,375,22029,36,1,1,Rejected
Female,56,35422,Student,474,19445,60,1,0,Rejected
Female,30,62468,Self-employed,408,49474,24,1,0,Rejected
Female,57,52371,Self-employed,482,15645,48,0,0,Rejected
Female,29,77022,Self-employed,491,32105,12,0,0,Rejected
Female,44,91229,Self-employed,364,14668,48,1,0,Rejected
Male,55,119071,Unemployed,773,16960,24,0,0,Approved
Female,55,71196,Student,399,12357,24,1,0,Rejected
Male,56,100354,Self-employed,843,38203,60,1,0,Rejected
Male,38,116774,Employed,427,16804,36,0,0,Rejected
Female,59,116410,Employed,751,15626,36,0,0,Approved
Male,52,46715,Employed,668,29132,24,1,0,Rejected
Male,44,47605,Student,342,8951,60,0,0,Rejected
Male,43,119853,Employed,718,7449,60,1,0,Rejected
Male,52,51174,Employed,787,20065,12,0,0,Approved
Male,57,29956,Unemployed,377,36967,36,0,0,Rejected
Male,32,124444,Student,569,40536,24,0,0,Under Review
Male,33,96373,Student,614,10130,48,0,0,Under Review
Male,43,89252,Employed,467,24824,36,0,0,Rejected
Male,45,81949,Student,638,42401,12,1,0,Rejected
Male,55,82646,Unemployed,492,37993,60,0,0,Rejected
Female,61,90017,Unemployed,752,32875,24,0,0,Approved
Male,50,83037,Self-employed,582,7054,36,1,0,Rejected
Male,37,109818,Unemployed,635,35273,48,1,0,Rejected
Female,40,26548,Self-employed,689,42821,12,1,0,Rejected
Female,45,136981,Employed,824,49517,12,0,0,Approved
Female,42,123141,Self-employed,539,11832,36,0,0,Under Review
Male,33,93294,Self-employed,782,30670,48,1,1,Rejected
Male,39,129204,Employed,757,23852,12,1,0,Rejected
Male,56,43177,Self-employed,388,24620,24,1,0,Rejected
Female,32,44022,Unemployed,394,29307,12,1,0,Rejected
Male,61,126297,Employed,751,48551,48,0,0,Approved
Male,39,140695,Student,727,2551,60,0,0,Approved
Female,32,25542,Self-employed,450,48922,60,0,0,Rejected
Female,29,111012,Unemployed,813,28812,36,0,0,Approved
Female,27,116320,Student,675,14799,48,0,0,Under Review
Male,48,80428,Employed,321,27312,12,1,0,Rejected
Male,34,42740,Employed,612,40620,12,0,0,Under Review
Male,51,79353,Employed,818,2449,60,1,0,Rejected
Male,39,110353,Unemployed,505,25426,60,1,0,Rejected
Female,36,133132,Student,674,36427,24,1,0,Rejected
Male,25,76532,Employed,750,41277,60,0,0,Approved
Male,55,36052,Unemployed,478,32551,24,1,0,Rejected
Female,32,120689,Unemployed,509,25277,12,0,0,Under Review
Female,45,67076,Student,799,36489,24,1,0,Rejected
Female,41,73420,Employed,763,46212,24,0,1,Approved
Male,56,20671,Employed,423,10637,36,1,0,Rejected
Female,43,20163,Self-employed,412,44258,60,0,0,Rejected
Male,36,61424,Employed,311,36693,24,1,0,Rejected
Female,59,129538,Student,425,10824,12,1,0,Rejected
Female,62,73744,Unemployed,630,27950,48,1,0,Rejected
Male,59,90331,Student,582,24488,24,1,0,Rejected
Female,34,30634,Employed,439,40008,60,0,0,Rejected
Female,51,24798,Unemployed,700,1215,36,0,0,Under Review
Female,25,42420,Student,396,41067,12,0,0,Rejected
Male,55,137043,Employed,816,12523,36,1,0,Rejected
Female,43,140575,Employed,368,11364,48,1,0,Rejected
Male,49,147158,Employed,417,4153,24,1,0,Rejected
Female,63,49300,Self-employed,358,24834,24,1,0,Rejected
Female,31,109881,Self-employed,332,35474,60,1,0,Rejected
Female,38,30749,Self-employed,617,44066,24,1,0,Rejected
Female,32,124131,Unemployed,349,35335,12,0,0,Rejected
Female,29,45121,Student,788,11400,48,0,0,Under Review
Female,30,148563,Unemployed,318,11345,36,0,0,Rejected
Male,64,57487,Unemployed,496,34896,48,0,0,Rejected
Male,37,113947,Employed,749,20894,24,0,0,Approved
Female,58,53361,Employed,751,29899,36,0,0,Approved
Female,27,41223,Unemployed,588,41635,60,0,0,Under Review
Male,33,92930,Student,440,29229,48,0,0,Rejected
Female,60,34056,Self-employed,383,6583,36,1,0,Rejected
Female,62,48380,Unemployed,690,5897,36,1,0,Rejected
Female,29,46035,Unemployed,514,7001,36,1,0,Rejected
Male,47,50620,Student,825,44881,12,1,0,Rejected
Female,22,39877,Student,514,5567,48,1,0,Rejected
Female,25,145481,Unemployed,702,10271,36,1,0,Rejected
Male,49,75316,Employed,427,48116,48,1,0,Rejected
Female,57,84041,Employed,776,12703,36,0,0,Approved
Male,58,128940,Unemployed,703,14329,60,0,0,Approved
Female,39,137360,Employed,328,36509,60,1,0,Rejected
Female,28,73352,Student,637,7256,60,0,0,Under Review
Female,21,50911,Self-employed,660,1228,24,0,0,Under Review
Female,42,52784,Student,691,25746,36,0,0,Under Review
Female,37,23191,Self-employed,517,17678,24,0,0,Under Review
Male,27,53160,Unemployed,501,38052,48,0,0,Under Review
Male,45,110536,Unemployed,316,47032,24,1,0,Rejected
Male,24,124576,Self-employed,621,47158,48,0,0,Under Review
Male,56,84641,Employed,817,24185,48,1,0,Rejected
Female,26,69723,Unemployed,624,34686,48,1,0,Rejected
Female,51,23631,Self-employed,711,12445,24,1,0,Rejected
Male,39,26172,Employed,617,34266,36,0,0,Under Review
Female,64,62080,Self-employed,381,3809,24,1,0,Rejected
Female,59,109097,Unemployed,773,38729,36,1,0,Rejected
Female,47,110353,Unemployed,767,42785,36,1,0,Rejected
Male,30,40281,Student,724,37547,48,1,0,Rejected
Male,46,48671,Self-employed,503,43818,24,0,0,Under Review
Female,39,142811,Employed,686,35886,36,1,0,Rejected
Male,59,71431,Unemployed,397,7391,60,1,0,Rejected
Female,23,110900,Student,644,1145,36,1,0,Rejected
Male,33,142139,Student,507,14929,60,1,0,Rejected
Female,48,127210,Employed,813,25326,24,0,0,Approved
Female,40,147734,Unemployed,465,30991,24,1,0,Rejected
Female,48,112961,Student,321,48685,24,1,0,Rejected
Female,28,135463,Employed,453,38333,36,1,0,Rejected
Female,61,48602,Employed,738,17576,12,1,0,Rejected
Female,59,108789,Self-employed,594,40405,36,1,0,Rejected
Female,21,71399,Self-employed,518,29464,36,1,0,Rejected
Female,23,43472,Unemployed,794,9243,48,0,0,Under Review
Female,33,69230,Student,529,32601,48,1,0,Rejected
Female,48,93616,Student,319,3410,36,0,0,Rejected
Female,45,27099,Self-employed,447,2820,60,0,0,Rejected
Male,53,138614,Unemployed,407,36289,48,1,0,Rejected
Male,58,45431,Student,702,39650,36,0,0,Under Review
Male,26,76492,Employed,782,35635,12,1,0,Rejected
Female,64,116722,Employed,666,8465,60,0,0,Under Review
Male,52,67684,Employed,713,33439,24,1,0,Rejected
Male,41,50111,Employed,608,28314,36,0,0,Under Review
Male,36,125387,Self-employed,433,45229,36,0,1,Rejected
Male,41,83936,Unemployed,582,20583,60,1,0,Rejected
Female,31,42614,Employed,372,28155,48,0,0,Rejected
Female,57,112260,Employed,780,39871,48,0,0,Approved
Female,56,61991,Student,651,13197,48,0,0,Under Review
Male,55,90476,Self-employed,625,30511,24,0,0,Under Review
Male,39,137959,Student,742,16424,60,0,0,Approved
Female,40,80920,Student,399,49821,60,1,0,Rejected
Male,38,114294,Student,358,1240,48,0,0,Rejected
Female,61,83530,Employed,807,5631,48,0,0,Approved
Male,34,56224,Unemployed,557,10599,12,1,0,Rejected
Female,35,27788,Self-employed,712,45462,12,1,0,Rejected
Male,51,48082,Employed,751,25658,36,1,0,Rejected
Male,21,143287,Self-employed,364,38845,36,0,0,Rejected
Female,23,109570,Employed,453,33574,60,0,0,Rejected
Male,36,121015,Unemployed,565,37536,60,0,0,Under Review
Male,43,96816,Unemployed,378,42910,24,0,0,Rejected
Female,31,103588,Self-employed,614,8995,24,1,1,Rejected
Male,32,36531,Student,547,26186,12,1,0,Rejected
Female,30,108340,Employed,713,30245,36,0,0,Approved
Male,52,114439,Self-employed,324,23813,12,0,0,Rejected
Male,36,64857,Student,583,14276,12,0,0,Under Review
Female,28,30142,Unemployed,748,20989,36,0,0,Under Review
Female,58,135053,Employed,600,13746,24,1,0,Rejected
Female,32,68355,Unemployed,367,45243,36,1,0,Rejected
Female,44,29866,Employed,306,19557,48,0,0,Rejected
Female,48,90067,Student,436,29060,48,1,0,Rejected
Male,28,130990,Employed,463,7568,48,0,0,Rejected
Male,48,123634,Student,382,36369,60,0,0,Rejected
Female,56,123814,Employed,719,20041,24,1,0,Rejected
Female,46,145426,Self-employed,372,7080,24,0,0,Rejected
Male,28,84027,Unemployed,536,14854,60,1,0,Rejected
Male,48,77906,Employed,345,3159,12,0,0,Rejected
Female,48,48138,Employed,561,28025,48,1,0,Rejected
Female,57,112601,Unemployed,475,42081,48,0,0,Rejected
Male,61,49956,Employed,465,5368,12,1,0,Rejected
Male,56,127268,Unemployed,669,35085,36,0,0,Under Review
Male,47,124797,Student,353,28094,36,0,1,Rejected
Male,37,144917,Self-employed,718,47040,24,1,0,Rejected
Female,29,146303,Self-employed,806,2230,60,0,0,Approved
Male,53,96295,Unemployed,640,18517,24,1,0,Rejected
Male,40,25439,Self-employed,426,24991,36,1,0,Rejected
Male,33,67241,Unemployed,708,2301,12,0,0,Approved
Female,48,62533,Self-employed,666,29610,24,0,0,Under Review
Male,49,48270,Employed,570,16927,48,0,0,Under Review
Female,33,98815,Employed,678,35678,48,0,0,Under Review
Female,55,59279,Self-employed,372,25466,12,1,0,Rejected
Female,26,129787,Student,547,15904,36,0,0,Under Review
Female,38,43888,Self-employed,342,41875,48,0,0,Rejected
Female,25,37630,Employed,676,27081,48,0,0,Under Review
Female,45,81063,Self-employed,340,25354,60,1,0,Rejected
Male,22,138527,Employed,469,28761,24,0,0,Rejected
Male,30,143239,Student,511,19300,36,1,0,Rejected
Male,50,147896,Student,792,30491,24,0,0,Approved
Male,25,55144,Self-employed,338,36525,36,1,0,Rejected
Female,53,72161,Employed,668,27532,48,0,0,Under Review
Male,21,116718,Student,450,7464,60,0,0,Rejected
Male,38,145873,Unemployed,410,17562,24,1,0,Rejected
Male,52,111074,Self-employed,779,42856,48,0,0,Approved
Male,31,97360,Unemployed,735,48892,36,0,0,Approved
Male,41,70979,Self-employed,346,48028,24,0,0,Rejected
Male,46,117661,Employed,665,43511,24,1,0,Rejected
Male,45,26979,Employed,368,9683,48,0,0,Rejected
Female,42,46189,Unemployed,598,33634,24,1,0,Rejected
Female,47,62600,Employed,595,1060,60,1,0,Rejected
Female,33,79560,Employed,502,10269,60,1,0,Rejected
Female,53,98040,Employed,360,24065,48,0,0,Rejected
Male,54,143257,Unemployed,613,3895,36,1,0,Rejected
Male,61,81558,Employed,460,16323,48,1,0,Rejected
Female,55,106205,Student,630,13352,60,0,0,Under Review
Female,21,26910,Self-employed,827,45643,12,1,0,Rejected
Female,41,77713,Student,637,39591,12,1,0,Rejected
Male,26,66857,Unemployed,603,31890,24,0,0,Under Review
Male,48,54964,Unemployed,802,33016,24,0,0,Approved
Female,37,105667,Employed,637,12962,12,1,0,Rejected
Male,25,45227,Student,849,34302,60,0,0,Under Review
Female,51,25978,Unemployed,574,20846,24,0,0,Under Review
Male,25,107527,Self-employed,463,5011,48,0,0,Rejected
Male,58,37153,Unemployed,742,20782,48,1,0,Rejected
Male,23,79765,Student,618,3155,60,1,0,Rejected
Female,43,119084,Self-employed,803,40725,24,0,0,Approved
Male,57,128212,Self-employed,686,10196,48,1,0,Rejected
Male,57,59071,Employed,793,44459,24,0,0,Approved
Male,30,132990,Self-employed,789,22709,24,0,0,Approved
Male,30,89519,Employed,372,14327,48,0,0,Rejected
Female,39,29503,Employed,808,36474,12,0,0,Under Review
Female,37,80703,Unemployed,689,33769,48,0,0,Under Review
Female,41,84379,Unemployed,594,42993,60,1,0,Rejected
Male,34,115457,Employed,668,25700,36,1,0,Rejected
Female,29,77866,Student,848,15820,48,1,0,Rejected
Female,21,36905,Employed,486,11891,24,1,0,Rejected
Female,33,65838,Student,744,35629,24,0,0,Approved
Female,24,145200,Self-employed,662,6269,48,0,0,Under Review
Female,21,78279,Self-employed,422,44880,36,1,0,Rejected
Female,60,109489,Self-employed,487,49467,48,1,0,Rejected
Male,52,46806,Employed,719,9320,36,0,0,Under Review
Male,54,65000,Student,551,11740,36,0,0,Under Review
Female,48,42168,Employed,848,36897,60,0,0,Under Review
Female,51,90119,Self-employed,634,31930,24,1,0,Rejected
Female,28,58714,Unemployed,391,18285,24,0,0,Rejected
Male,59,74093,Self-employed,829,15380,36,0,0,Approved
Male,46,75419,Self-employed,362,12360,24,1,0,Rejected
Male,54,69145,Unemployed,811,6398,12,1,0,Rejected
Male,23,125432,Student,438,6529,36,1,0,Rejected
Female,32,97425,Self-employed,484,30062,24,0,0,Rejected
Male,21,112949,Student,504,37686,12,0,1,Under Review
Male,64,97811,Unemployed,513,18451,60,1,0,Rejected
Female,25,22461,Unemployed,555,7937,24,0,0,Under Review
Female,50,34291,Unemployed,434,40886,12,0,0,Rejected
Female,50,66804,Employed,387,11860,48,0,0,Rejected
Male,37,96971,Student,506,26142,48,1,0,Rejected
Female,43,113471,Employed,428,26279,12,1,0,Rejected
Female,35,84946,Unemployed,302,39106,36,0,0,Rejected
Male,57,118989,Self-employed,420,46240,36,0,0,Rejected
Female,41,104080,Employed,684,36908,24,0,0,Under Review
Female,34,141719,Self-employed,337,41764,48,0,0,Rejected
Female,22,81332,Employed,640,49257,36,1,0,Rejected
Female,31,97794,Student,320,15201,36,1,0,Rejected
Female,59,50841,Self-employed,541,41544,48,0,0,Under Review
Male,58,144447,Employed,754,38711,60,0,0,Approved
Male,54,140029,Unemployed,602,46654,36,1,0,Rejected
Female,58,68758,Unemployed,368,9997,12,0,0,Rejected
Female,54,134726,Student,428,41566,24,1,0,Rejected
Female,38,96272,Student,495,21175,36,0,0,Rejected
Female,50,57643,Employed,439,41860,36,1,0,Rejected
Female,35,70408,Unemployed,743,4225,60,0,0,Approved
Male,47,63950,Self-employed,582,45578,12,0,0,Under Review
Female,54,76849,Employed,611,48682,24,1,0,Rejected
Male,58,120500,Employed,834,36228,36,1,0,Rejected
Female,53,48044,Unemployed,576,42505,24,0,0,Under Review
Female,44,125469,Student,360,47688,48,0,0,Rejected
Female,35,145588,Self-employed,618,24110,36,1,0,Rejected
Male,50,35997,Student,351,11754,36,1,0,Rejected
Female,62,99751,Employed,452,27655,48,0,0,Rejected
Male,37,118605,Employed,610,44601,60,0,0,Under Review
Female,25,43911,Unemployed,843,4114,36,1,0,Rejected
Female,49,75533,Student,688,27502,24,1,1,Rejected
Male,24,102566,Employed,847,49128,12,1,0,Rejected
Male,30,114870,Employed,476,21028,24,1,0,Rejected
Female,37,34571,Student,661,18587,60,1,0,Rejected
Female,30,128255,Unemployed,613,43719,12,0,0,Under Review
Female,37,149226,Unemployed,396,36333,24,0,0,Rejected
Male,40,114463,Self-employed,512,4174,24,1,0,Rejected
Male,44,77941,Self-employed,436,36398,48,0,0,Rejected
Female,25,78005,Self-employed,305,36929,60,0,0,Rejected
Male,54,106250,Student,408,5321,48,1,0,Rejected
Female,26,78712,Self-employed,846,31435,12,0,0,Approved
Female,22,63541,Self-employed,338,46972,48,0,0,Rejected
Female,33,43387,Student,724,8099,60,0,0,Under Review
Male,63,113980,Self-employed,560,24760,36,1,0,Rejected
Male,63,68908,Unemployed,725,12360,36,1,1,Rejected
Male,31,105457,Employed,386,11313,12,0,0,Rejected
Male,43,33057,Unemployed,764,47270,36,0,0,Under Review
Female,36,84028,Unemployed,375,21462,48,0,0,Rejected
Male,51,130804,Employed,770,6801,12,0,0,Approved
Female,31,139246,Unemployed,713,15130,60,0,0,Approved
Male,36,75731,Employed,756,15271,12,0,1,Approved
Male,28,44858,Unemployed,584,17075,12,1,0,Rejected
Male,24,68689,Student,538,37919,24,0,0,Under Review
Female,60,64638,Student,671,42679,24,0,0,Under Review
Male,24,111598,Self-employed,794,19984,12,1,0,Rejected
Male,45,122386,Student,344,23559,36,0,0,Rejected
Female,23,66486,Employed,700,13861,24,0,0,Under Review
Female,52,40567,Self-employed,546,34434,60,0,1,Under Review
Female,23,49739,Unemployed,749,17667,48,0,0,Under Review
Female,47,77804,Student,784,6840,24,1,0,Rejected
Female,49,128821,Self-employed,317,4565,12,0,0,Rejected
Female,52,23754,Student,588,44194,36,1,0,Rejected
Male,39,47044,Self-employed,713,21977,48,0,0,Under Review
Female,41,87260,Employed,534,22118,24,0,0,Under Review
Male,25,86912,Employed,715,23641,36,1,0,Rejected
Female,38,145623,Unemployed,798,8366,36,0,0,Approved
Male,48,28706,Self-employed,414,27636,36,1,0,Rejected
Male,62,28894,Employed,533,16630,12,1,0,Rejected
Male,42,38037,Unemployed,839,21056,60,1,0,Rejected
Female,41,103986,Self-employed,310,8382,36,0,0,Rejected
Female,26,101942,Unemployed,505,17149,48,0,0,Under Review
Female,21,71612,Employed,546,49639,24,0,0,Under Review
Female,25,49725,Unemployed,426,47041,48,0,0,Rejected
Male,61,25926,Self-employed,446,1992,12,1,0,Rejected
Female,32,124555,Student,417,7858,12,0,0,Rejected
Female,46,29496,Employed,681,3121,48,0,0,Under Review
Female,54,76447,Self-employed,711,28160,60,1,0,Rejected
Male,34,121604,Self-employed,662,46156,12,1,0,Rejected
Female,46,49806,Unemployed,808,21906,12,0,0,Under Review
Female,47,108199,Employed,436,20572,48,1,0,Rejected
Female,29,61321,Student,474,5136,12,1,0,Rejected
Female,46,142041,Student,588,17727,60,1,0,Rejected
Female,42,122031,Unemployed,780,33167,60,1,0,Rejected
Female,50,85095,Employed,318,46421,60,1,0,Rejected
Female,63,42656,Student,494,16479,24,0,0,Rejected
Male,37,75147,Employed,629,32376,60,0,0,Under Review
Male,46,111396,Unemployed,474,5823,60,0,0,Rejected
Female,56,69666,Employed,748,5920,24,0,0,Approved
Male,21,102368,Employed,653,20585,36,0,0,Under Review
Female,28,58787,Employed,798,39239,12,0,1,Approved
Male,55,133767,Unemployed,440,18272,60,0,0,Rejected
Female,35,82946,Unemployed,392,27619,12,1,0,Rejected
Female,42,41727,Unemployed,538,10533,48,0,0,Under Review
Female,34,128351,Student,504,40895,12,0,0,Under Review
Female,46,115081,Self-employed,732,4720,24,0,0,Approved
Male,48,142721,Employed,544,20267,12,1,0,Rejected
Female,43,130058,Self-employed,616,16696,12,0,0,Under Review
Male,34,88056,Employed,594,30968,12,0,0,Under Review
Male,44,23081,Employed,581,24345,36,1,0,Rejected
Female,22,54196,Employed,316,26693,36,0,0,Rejected
Male,46,56735,Unemployed,370,20385,48,0,0,Rejected
Female,34,124749,Student,568,19122,24,1,0,Rejected
Male,27,100102,Unemployed,624,2364,12,0,0,Under Review
Female,23,99578,Employed,604,3708,12,1,0,Rejected
Male,43,45498,Self-employed,750,13982,12,0,0,Under Review
Male,63,96865,Employed,306,18308,12,0,0,Rejected
Female,38,51656,Employed,613,33919,36,0,0,Under Review
Male,58,87695,Student,402,26161,48,1,0,Rejected
Male,55,57900,Employed,492,36089,60,1,0,Rejected
Female,35,148392,Unemployed,828,14865,24,1,0,Rejected
Female,45,137235,Student,470,1495,12,0,0,Rejected
Female,57,104899,Student,836,45755,48,0,0,Approved
Female,48,67701,Student,550,3148,60,1,0,Rejected
Male,30,128777,Employed,686,34324,48,1,0,Rejected
Female,59,39033,Student,506,14393,36,0,0,Under Review
Female,37,143193,Student,840,2552,60,0,0,Approved
Female,59,30805,Unemployed,715,36853,48,0,0,Under Review
Female,42,55851,Self-employed,679,33924,36,0,0,Under Review
Male,46,46832,Unemployed,443,9926,48,1,0,Rejected
Male,64,83437,Unemployed,324,31851,48,0,1,Rejected
Male,45,135725,Self-employed,372,24889,60,0,0,Rejected
Female,37,33944,Self-employed,392,40930,36,0,0,Rejected
Male,33,39873,Student,804,9055,12,0,0,Under Review
Male,40,60372,Unemployed,635,5654,24,0,0,Under Review
Female,45,109464,Employed,724,23634,60,0,0,Approved
Male,24,35379,Unemployed,798,33363,36,0,0,Under Review
Male,30,137322,Self-employed,663,12468,48,1,0,Rejected
Female,23,56751,Student,498,33922,36,1,1,Rejected
Male,61,120082,Student,712,41718,24,1,0,Rejected
Female,38,109822,Student,638,49091,24,0,0,Under Review
Male,56,25110,Employed,728,18380,12,1,0,Rejected
Male,42,74341,Employed,438,27870,12,0,1,Rejected
Female,54,32087,Self-employed,841,38394,24,0,0,Under Review
Male,28,43762,Student,356,15259,60,0,0,Rejected
Female,60,135812,Unemployed,531,15873,60,0,0,Under Review
Female,64,102617,Student,734,14016,48,1,0,Rejected
Female,39,120483,Unemployed,683,43137,12,0,0,Under Review
Female,62,29596,Unemployed,493,1153,48,0,0,Rejected
Male,61,123555,Employed,833,8853,12,1,0,Rejected
Male,57,127539,Student,817,13379,24,1,0,Rejected
Female,26,38313,Self-employed,484,16792,60,1,0,Rejected
Male,46,133175,Student,591,39367,60,0,0,Under Review
Male,54,86549,Student,634,19100,24,1,0,Rejected
Male,26,134914,Self-employed,415,48553,48,0,0,Rejected
Male,57,43705,Self-employed,348,12049,48,0,1,Rejected
Female,53,87364,Student,381,1786,36,1,0,Rejected
Male,42,93445,Self-employed,632,5368,12,1,0,Rejected
Female,41,123892,Unemployed,634,31699,48,1,0,Rejected
Male,26,98645,Employed,831,48691,24,0,0,Approved
Male,26,22023,Self-employed,520,38040,48,0,0,Under Review
Female,24,139654,Unemployed,622,28454,60,0,0,Under Review
Female,50,79796,Employed,302,39762,12,0,0,Rejected
Female,31,100073,Self-employed,505,24600,36,0,0,Under Review
Female,50,112197,Employed,339,30238,12,0,0,Rejected
Male,51,84429,Student,358,26241,60,1,0,Rejected
Female,44,124195,Self-employed,806,20810,60,0,0,Approved
Female,29,81627,Unemployed,421,21167,60,1,0,Rejected
Male,23,53848,Unemployed,778,22811,60,1,0,Rejected
Male,51,57804,Employed,395,40779,24,1,0,Rejected
Female,60,35379,Unemployed,713,21085,36,1,0,Rejected
Female,57,79664,Unemployed,534,47854,60,1,0,Rejected
Female,56,47766,Self-employed,361,10261,60,0,0,Rejected
Female,44,129126,Employed,555,19733,48,0,0,Under Review
Female,51,88099,Unemployed,647,40779,36,0,0,Under Review
Female,26,56060,Student,423,30079,12,0,0,Rejected
Female,22,114733,Self-employed,781,34980,36,1,0,Rejected
Male,40,89122,Unemployed,616,15141,36,1,1,Rejected
Female,48,36087,Unemployed,803,10344,36,1,0,Rejected
Female,31,68868,Unemployed,347,40472,60,0,0,Rejected
Male,24,139119,Self-employed,708,16896,60,0,0,Approved
Male,35,43225,Self-employed,435,24817,24,0,0,Rejected
Female,26,115286,Employed,500,30813,12,0,0,Under Review
Female,50,26643,Self-employed,549,19895,48,1,0,Rejected
Female,58,113059,Unemployed,613,1143,36,1,0,Rejected
Female,22,56727,Unemployed,667,11681,12,0,0,Under Review
Male,35,31005,Student,728,8367,12,0,0,Under Review
Female,31,129079,Self-employed,779,4228,24,1,0,Rejected
Female,28,85697,Unemployed,613,5582,48,1,0,Rejected
Male,46,36029,Student,799,14147,36,1,0,Rejected
Male,64,135281,Employed,654,12397,48,1,0,Rejected
Female,25,34226,Employed,784,39799,24,0,0,Under Review
Female,26,83646,Employed,510,38011,60,1,0,Rejected
Male,46,80603,Unemployed,343,14647,12,1,0,Rejected
Female,24,48731,Unemployed,840,28718,36,1,0,Rejected
Male,39,129458,Employed,391,45264,60,1,0,Rejected
Male,40,130384,Student,564,43317,24,0,0,Under Review
Female,53,88926,Employed,519,48914,48,0,0,Under Review
Male,40,25997,Self-employed,741,20097,12,0,0,Under Review
Male,32,75506,Unemployed,700,37953,36,0,0,Under Review
Male,21,98229,Unemployed,699,46254,60,0,0,Under Review
Female,46,69815,Self-employed,789,41096,60,0,1,Approved
Female,34,62092,Unemployed,784,18107,12,1,0,Rejected
Male,58,82539,Self-employed,769,4010,48,1,0,Rejected
Female,57,86077,Employed,744,6555,24,1,0,Rejected
Male,31,41817,Employed,568,1067,48,1,0,Rejected
Male,56,57861,Unemployed,566,29412,48,0,0,Under Review
Female,33,33428,Unemployed,353,45953,48,1,0,Rejected
Female,63,63934,Employed,827,35305,12,0,0,Approved
Female,23,135555,Self-employed,819,12549,12,1,0,Rejected
Male,53,134367,Employed,358,6680,24,1,1,Rejected
Male,26,30258,Self-employed,339,26739,48,1,0,Rejected
Male,30,77775,Student,536,22209,12,0,0,Under Review
Female,25,101580,Employed,685,42515,24,1,0,Rejected
Female,43,114947,Self-employed,599,23432,24,0,0,Under Review
Male,30,25469,Self-employed,694,16116,48,0,0,Under Review
Female,64,48854,Self-employed,506,21045,36,1,0,Rejected
Female,22,26256,Unemployed,635,27327,48,0,0,Under Review
Female,33,144086,Unemployed,813,36709,36,0,0,Approved
Female,60,96256,Student,477,44617,24,1,0,Rejected
Male,22,53937,Student,695,27905,12,1,0,Rejected
Female,40,119134,Self-employed,670,8067,60,1,0,Rejected
Male,21,21651,Unemployed,617,33559,24,1,0,Rejected
Male,57,70288,Self-employed,668,43919,12,1,0,Rejected
Male,29,104730,Unemployed,683,18985,24,1,0,Rejected
Female,37,45051,Unemployed,361,28369,48,0,0,Rejected
Female,29,47386,Student,804,18864,36,1,0,Rejected
Male,31,95054,Self-employed,538,23614,24,1,0,Rejected
Female,35,131562,Self-employed,494,48894,12,0,0,Rejected
Male,44,36184,Unemployed,521,16613,48,1,0,Rejected
Female,58,53787,Unemployed,360,7447,60,0,0,Rejected
Male,55,41621,Employed,428,6499,48,1,0,Rejected
Female,50,95564,Student,455,40041,36,1,0,Rejected
Female,51,97984,Employed,677,32315,48,0,0,Under Review
Female,25,79792,Unemployed,736,2299,60,1,0,Rejected
Female,64,65253,Self-employed,506,40469,12,0,0,Under Review
Female,34,54051,Unemployed,687,5994,24,1,0,Rejected
Male,31,69811,Employed,779,30878,36,1,0,Rejected
Male,29,50447,Student,639,16627,60,0,0,Under Review
Female,54,148046,Unemployed,639,8489,36,1,0,Rejected
Male,32,103930,Self-employed,503,27111,48,1,0,Rejected
Female,55,143278,Employed,460,33355,36,0,0,Rejected
Male,55,120037,Unemployed,839,9269,60,1,0,Rejected
Male,21,50254,Self-employed,691,3831,24,0,0,Under Review
Female,60,104045,Self-employed,833,45370,24,1,0,Rejected
Female,42,136859,Unemployed,369,12819,36,0,0,Rejected
Female,49,77418,Employed,704,25813,12,1,0,Rejected
Male,28,134534,Self-employed,816,22637,36,0,0,Approved
Male,31,34472,Student,419,2996,48,0,0,Rejected
Male,61,131193,Employed,516,45387,24,1,0,Rejected
Male,57,23471,Self-employed,355,4089,24,1,0,Rejected
Female,34,127332,Unemployed,665,34291,24,0,0,Under Review
